tcga,ej,7792,01a
tcga,ej,5530,01a
tcga,hc,8266,01a
tcga,ej,a65g,01a
tcga,ej,8470,01a
tcga,qu,a6in,01a
tcga,ej,a65f,01a
tcga,g9,6342,11a
tcga,yl,a8ho,01a
tcga,g9,6384,11a
tcga,ej,a46e,01a
tcga,g9,6338,01a
tcga,fc,7708,01a
tcga,vp,a87h,01a
tcga,hc,7211,01a
tcga,g9,6329,01a
tcga,ej,a65j,01a
tcga,ch,5768,11a
tcga,ej,7325,01b
tcga,g9,6369,01a
tcga,ch,5750,01a
tcga,hc,7745,11a
tcga,ej,7792,11a
tcga,kk,a6e3,01a
tcga,g9,6365,11a
tcga,ch,5763,01a
tcga,ej,5502,01a
tcga,xa,a8jr,01a
tcga,yl,a8sa,01a
tcga,ej,7312,01b
tcga,fc,a4ji,01a
tcga,kc,a4bv,01a
tcga,j9,a8cp,01a
tcga,2a,a8vv,01a
tcga,kc,a4br,01a
tcga,g9,6377,01a
tcga,ch,5791,01a
tcga,v1,a8ml,01a
tcga,ej,5507,01a
tcga,ej,5511,01a
tcga,hc,8262,11a
tcga,hc,7232,01a
tcga,ej,5531,01a
tcga,yl,a8hm,01a
tcga,hc,8261,01a
tcga,ej,5519,01a
tcga,ch,5745,01a
tcga,kk,a7az,01a
tcga,ch,5792,01a
tcga,j4,a83i,01a
tcga,ch,5769,11a
tcga,xj,a9di,01a
tcga,kk,a7aw,01a
tcga,ch,5754,01a
tcga,ej,5532,01a
tcga,yl,a8sk,01b
tcga,kk,a8i8,01a
tcga,hc,7077,01a
tcga,hc,7750,01a
tcga,ej,a65b,01a
tcga,v1,a8x3,01a
tcga,ej,a8fo,01a
tcga,hc,8258,11a
tcga,kk,a6e4,01a
tcga,xj,a83g,01a
tcga,ch,5740,01a
tcga,hc,8260,01a
tcga,j4,a67r,01a
tcga,ej,7793,11a
tcga,g9,6351,01a
tcga,ch,5764,01a
tcga,ch,5794,01a
tcga,hi,7168,01a
tcga,ej,7315,01a
tcga,g9,6373,01a
tcga,g9,7523,01a
tcga,fc,a66v,01a
tcga,kk,a8i7,01a
tcga,j4,a6g3,01a
tcga,xj,a83h,01a
tcga,hc,8213,01a
tcga,vn,a88o,01a
tcga,vn,a88i,01a
tcga,j4,a67k,01a
tcga,ej,5516,01a
tcga,ch,5741,01a
tcga,ej,7327,11a
tcga,g9,6333,01a
tcga,ej,7317,01a
tcga,hc,7749,01a
tcga,hc,7738,11a
tcga,xj,a9dx,01a
tcga,g9,6365,01a
tcga,kc,a7f3,01a
tcga,ej,7794,11a
tcga,g9,6496,01a
tcga,hc,a6an,01a
tcga,2a,a8w1,01a
tcga,g9,6351,11a
tcga,fc,a6hd,01a
tcga,j4,a83j,11a
tcga,kk,a8im,01a
tcga,ch,5767,11b
tcga,vn,a88l,01a
tcga,ej,a65d,01a
tcga,ej,8469,01a
tcga,yj,a8sw,01a
tcga,ej,5504,01a
tcga,hi,7169,01a
tcga,kc,a4bl,01a
tcga,ej,5542,01a
tcga,ej,7784,01a
tcga,ch,5790,01a
tcga,yl,a8so,01b
tcga,g9,6363,01a
tcga,hc,7818,01a
tcga,j9,a52c,01a
tcga,ch,5772,01a
tcga,ej,7789,01a
tcga,ej,5510,01a
tcga,ch,5768,01a
tcga,qu,a6il,01a
tcga,yl,a9wj,01a
tcga,kk,a6e6,01a
tcga,kk,a6e2,01a
tcga,g9,7522,01a
tcga,g9,6496,11a
